#SpT   Teff  logT   BCv    Mv    logL  B-V    Bt-Vt  V-G    U-B     V-Rc   V-Ic    V-Ks    J-H     H-K     Ks-W1   W1-W2  W1-W3  W1-W4  Msun  logAge b-y     M_J    M_Ks   Mbol i-z  z-Y  R_Rsun  #SpT  
G5V    5660  3.753 -0.13   4.98 -0.05  0.680  0.764  0.225  0.185   0.377  0.738   1.635   0.310   0.076   0.028  -0.052 -0.041 -0.014  0.98  ...    ...     3.74   3.35   4.84 ...  ...  0.982   G5V   
G6V    5590  3.747 -0.15   5.13 -0.11  0.704  0.796  0.235  0.227   0.388  0.758   1.691   0.324   0.079   0.028  -0.053 -0.040 -0.012  0.97  ...    ...     3.84   3.44   4.98 ...  ...  0.939   G6V   
G7V    5530  3.743 -0.16   5.18 -0.12  0.713  0.809  0.239  0.243   0.393  0.766   1.712   0.329   0.080   0.028  -0.054 -0.040 -0.013  0.96  ...    ...     3.88   3.47   5.02 ...  ...  0.949   G7V   
G8V    5490  3.734 -0.17   5.32 -0.17  0.737  0.842  0.249  0.284   0.404  0.786   1.768   0.342   0.082   0.028  -0.057 -0.039 -0.018  0.94  ...    ...     3.97   3.55   5.15 ...  ...  0.909   G8V   
G9V    5340  3.728 -0.21   5.55 -0.25  0.777  0.894  0.267  0.358   0.423  0.820   1.861   0.365   0.087   0.029  -0.060 -0.038 -0.018  0.90  ...    ...     4.14   3.69   5.34 ...  ...  0.876   G9V   
K0V    5280  3.723 -0.22   5.76 -0.33  0.816  0.944  0.286  0.436   0.443  0.853   1.953   0.387   0.091   0.030  -0.063 -0.037 -0.015  0.87  ...    ...     4.29   3.81   5.54 ...  ...  0.817   K0V   
K1V    5170  3.713 -0.26   5.89 -0.36  0.847  0.976  0.301  0.491   0.457  0.879   2.021   0.402   0.094   0.030  -0.064 -0.038 -0.013  0.85  ...    ...     4.47   3.97   5.65 ...  ...  0.814   K1V   
K2V    5040  3.706 -0.29   6.19 -0.47  0.893  1.047  0.326  0.600   0.487  0.929   2.155   0.432   0.099   0.031  -0.068 -0.035 -0.007  0.82  ...    ...     4.57   4.04   5.88 ...  ...  0.763   K2V   
K3V    4840  3.685 -0.41   6.57 -0.58  0.990  1.166  0.384  0.801   0.544  1.025   2.410   0.490   0.110   0.034  -0.071 -0.031 -0.004  0.78  ...    ...     4.76   4.16   6.16 ...  ...  0.729   K3V   
K4V    4620  3.665 -0.55   7.04 -0.71  1.100  1.306  0.477  1.004   0.640  1.190   2.733   0.544   0.125   0.039  -0.073 -0.031  0.009  0.73  ...    ...     4.98   4.31   6.48 ...  ...  0.689   K4V   
K5V    4410  3.644 -0.68   7.36 -0.78  1.150  1.373  0.525  1.081   0.685  1.272   2.883   0.568   0.132   0.042  -0.073 -0.029  0.019  0.71  ...    ...     5.18   4.48   6.68 ...  ...  0.698   K5V   
K6V    4230  3.626 -0.81   7.80 -0.90  1.240  1.439  0.617  1.184   0.759  1.420   3.143   0.601   0.148   0.049   ...    ...    ...    0.68  ...    ...     5.41   4.66   6.99 ...  ...  0.661   K6V   
K7V    4070  3.610 -0.97   8.25 -1.02  1.330  1.532  0.712  1.222   0.820  1.565   3.391   0.622   0.167   0.060   ...    ...    ...    0.64  ...    ...     5.65   4.86   7.28 ...  ...  0.622   K7V   
K8V    4000  3.602 -1.03   8.47 -1.10  1.356  1.562  0.751  1.216   0.843  1.632   3.487   0.623   0.176   0.081   ...    ...    ...    0.63  ...    ...     5.78   4.98   7.44 ...  ...  0.587   K8V   
K9V    3940  3.595 -1.10   8.69 -1.18  1.382  1.593  0.791  1.210   0.866  1.699   3.584   0.625   0.184   0.101   ...    ...    ...    0.61  ...    ...     5.92   5.11   7.59 ...  ...  0.552   K9V   
M0V    3870  3.588 -1.16   8.91 -1.20  1.408  1.623  0.832  1.204   0.889  1.766   3.680   0.626   0.193   0.122   ...    ...    ...    0.60  ...    ...     6.04   5.22   7.75 0.33 ...  0.559   M0V   
M0.5V  3800  3.580 -1.38   9.20 -1.27  1.441  ...    0.902  1.184   0.924  1.886   3.84    0.620   0.208   0.130   ...    ...    ...    0.56  ...    ...     6.19   5.36   7.90 0.37 ...  0.535   M0.5V 
M1V    3700  3.568 -1.44   9.69 -1.40  1.475  ...    0.983  1.172   0.959  2.019   4.02    0.613   0.225   0.137   ...    ...    ...    0.53  ...    ...     6.51   5.67   8.25 0.41 ...  0.496   M1V   
M1.5V  3650  3.562 -1.57   9.97 -1.47  1.486  ...    1.030  1.170   0.978  2.089   4.12    0.607   0.228   0.105   ...    ...    ...    0.50  ...    ...     6.69   5.85   8.40 0.47 ...  0.460   M1.5V 
M2V    3550  3.550 -1.65  10.30 -1.57  1.500  ...    1.086  1.170   1.001  2.173   4.24    0.600   0.234   0.110   ...    ...    ...    0.48  ...    ...     6.89   6.06   8.65 0.53 ...  0.434   M2V   
M2.5V  3500  3.544 -1.76  10.70 -1.68  1.522  ...    1.179  1.175   1.041  2.306   4.43    0.589   0.244   0.117   ...    ...    ...    0.44  ...    ...     7.01   6.27   8.94 0.57 ...  0.393   M2.5V 
M3V    3410  3.533 -1.97  11.14 -1.78  1.544  ...    1.263  1.181   1.079  2.420   4.60    0.579   0.252   0.122   ...    ...    ...    0.39  ...    ...     7.40   6.54   9.17 0.61 ...  0.369   M3V   
M3.5V  3250  3.512 -2.27  12.19 -2.07  1.602  ...    1.467  1.200   1.178  2.680   5.00    0.558   0.269   0.132   ...    ...    ...    0.28  ...    ...     8.02   7.19   9.92 0.66 ...  0.291   M3.5V 
M4V    3200  3.505 -2.59  12.80 -2.20  1.661  ...    ...    1.222   1.241  2.831   5.25    0.557   0.282   0.139   ...    ...    ...    0.22  ...    ...     8.39   7.55  10.21 0.71 ...  0.258   M4V   
M4.5V  3100  3.491 -3.05  13.57 -2.31  1.72   ...    ...    1.23    1.345  3.073   5.64    0.564   0.301   ...     ...    ...    ...    0.18  ...    ...     8.79   7.93  10.52 0.81 ...  0.243   M4.5V 
M5V    3030  3.481 -3.28  14.30 -2.52  1.874  ...    ...    1.24    1.446  3.277   5.94    0.580   0.311   ...     0.17   ...    ...    0.15  ...    ...     9.25   8.36  11.02 0.91 0.47 0.199   M5V   
M5.5V  3000  3.477 -3.80  15.51 -2.79  1.91   ...    ...    1.3     1.656  3.664   6.50    0.588   0.329   ...     0.19   ...    ...    0.12  ...    ...     9.93   9.01  11.71 1.13 0.52 0.149   M5.5V 
M6V    2850  3.455 -4.36  16.62 -3.02  2.00   ...    ...    1.3     1.950  4.13    7.30    0.605   0.352   ...     0.21   ...    ...    0.11  ...    ...    10.28   9.32  12.26 1.45 0.60 0.127   M6V   
M6.5V  2710  3.433 -4.60  17.07 -3.09  2.06   ...    ...    ...     2.003  4.31    7.60    0.609   0.364   ...     0.22   ...    ...    0.10  ...    ...    10.47   9.47  12.47 1.58 0.64 0.129   M6.5V 
M7V    2650  3.423 -5.06  17.81 -3.21  2.06   ...    ...    ...     2.180  4.45    8.05    0.613   0.386   ...     0.24   ...    ...    0.09  ...    ...    10.76   9.76  12.75 1.77 0.70 0.118   M7V    
M7.5V  2600  3.415 -5.46  18.42 -3.29  2.17   ...    ...    ...     2.160  4.56    8.45    0.650   0.422   ...     0.25   ...    ...    0.08  ...    ...    10.68   9.97  12.97 1.85 0.74 0.112   M7.5V 
M8V    2500  3.398 -5.70  18.84 -3.36  2.20   ...    ...    ...     2.150  4.64    8.73    0.670   0.450   ...     0.26   ...    ...    0.077 ...    ...    11.23  10.11  13.14 1.93 0.77 0.111   M8V   
